Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,CAN,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.23655701,,95.18716431,,95.21276855,,94.17989349,94.17989349,92.1182251,93.65853882,95.60975647,95.14562988,95.63106537,96.65071869,96.19047546,95.26066589,95.26066589,95.26066589,94.71154022,95.23809814,96.19047546,95.7142868,93.80952454,92.85713959,91.90476227,92.38095093,93.39622498
Central Europe and the Baltics,CEB,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6989212,,95.72192383,,94.6808548,,95.76719666,96.82539368,96.05911255,97.07317352,96.5853653,96.60194397,97.08737946,97.12918854,96.66666412,95.73459625,97.63033295,97.63033295,98.07691956,97.61904907,95.7142868,96.66666412,96.66666412,96.66666412,97.14286041,96.66666412,97.16981506
Channel Islands,CHI,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.32257843,,86.09626007,,91.48936462,,90.47618866,83.59788513,87.68473053,91.21951294,91.21951294,89.80582428,88.34951782,88.03827667,89.52381134,90.0473938,90.99526215,90.0473938,90.38461304,87.14286041,80.47618866,81.42857361,80.95237732,80.47618866,83.33333588,80.95237732,80.6603775
China,CHN,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.38709641,,45.98930359,,49.46808624,,35.97883606,43.91534424,33.49753571,32.19512177,37.07316971,32.52427292,36.40776825,36.84210587,33.80952454,36.96682358,41.23222733,45.0236969,46.15384674,47.1428566,47.1428566,46.19047546,45.23809433,43.80952454,52.8571434,56.19047546,55.18867874
Cote d'Ivoire,CIV,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4623642,,37.96791458,,28.72340393,,26.45502663,13.22751331,9.852216721,9.268292427,8.780488014,12.13592243,12.62135887,11.96172237,10.95238113,16.587677,21.80094719,25.59241676,42.30769348,39.52381134,33.80952454,36.66666794,34.2857132,31.90476227,32.38095093,40.47618866,42.45283127
Cameroon,CMR,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.763440847,,3.208556175,,2.127659559,,5.82010603,14.81481457,11.82266045,11.21951199,13.65853691,16.01941681,15.53398037,17.70335007,14.28571415,11.37440777,7.109004974,9.952606201,10.09615421,12.38095284,11.4285717,10.95238113,11.4285717,10.95238113,12.38095284,13.33333302,13.20754719
"Congo, Dem. Rep.",COD,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.069518685,,0.53191489,,1.058201075,1.058201075,3.448275805,1.951219559,0.975609779,3.883495092,4.854369164,1.91387558,1.428571463,1.421800971,2.843601942,4.265402794,6.730769157,7.619047642,6.666666508,5.238095284,3.809523821,3.333333254,2.380952358,4.285714149,3.301886797
"Congo, Rep.",COG,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.11828041,,5.882352829,,19.68085098,,16.40211678,9.523809433,15.27093601,15.1219511,11.70731735,10.19417477,8.737864494,8.133971214,12.38095284,12.32227516,9.952606201,10.42654037,9.134614944,9.523809433,10.47619057,7.619047642,8.095237732,5.238095284,5.238095284,6.190476418,7.075471878
Colombia,COL,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.55913925,,36.36363602,,42.55319214,,46.56084824,50.79365158,52.21674728,52.19512177,52.19512177,49.02912521,49.51456451,45.45454407,41.42856979,47.39336395,42.18009567,40.28435898,42.78845978,44.76190567,41.90476227,42.38095093,43.33333206,46.19047546,45.7142868,42.38095093,41.03773499
Comoros,COM,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.66666603,,20.32085609,,18.61702156,,32.27513123,30.15872955,22.1674881,19.51219559,28.29268265,29.12621307,24.27184486,21.53110123,22.38095284,22.74881554,24.64455032,26.54028511,33.65384674,25.23809433,27.61904716,26.19047546,21.90476227,14.28571415,10.95238113,7.619047642,9.433961868
Cabo Verde,CPV,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33333588,,83.95722198,,84.04255676,,71.95767212,70.37036896,66.00984955,71.21951294,77.07317352,77.66990662,78.1553421,77.51196289,78.09523773,78.67298889,77.25118256,77.25118256,79.80769348,79.04762268,78.09523773,79.04762268,78.09523773,79.04762268,79.52381134,82.38095093,81.13207245
Costa Rica,CRI,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.26881409,,77.00534821,,74.46808624,,70.37036896,72.48677063,63.05418777,65.36585236,70.24390411,71.8446579,71.8446579,73.20574188,72.85713959,72.03791809,72.03791809,70.61611176,75,74.2857132,73.33333588,64.2857132,67.14286041,71.90476227,74.2857132,66.66666412,66.98113251
Caribbean small states,CSS,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.44086075,,64.17111969,,65.95744324,,69.31217194,62.43386078,60.59113312,62.92683029,62.92683029,65.04854584,64.56311035,66.50717926,66.19047546,64.45497894,63.98104095,61.6113739,59.13461685,58.09523773,60,62.38095093,59.04761887,57.1428566,48.57143021,54.2857132,52.35848999
